"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,1840.086419,28.226576,15.325780,-0.026004,1.571120,0.853049
1 Jan 2018 00:02:00.000,1826.570078,216.245551,117.410069,-0.198922,1.559595,0.846759
1 Jan 2018 00:04:00.000,1792.486975,401.834748,218.169757,-0.368288,1.530717,0.831025
1 Jan 2018 00:06:00.000,1738.440701,582.957135,316.497682,-0.531180,1.485343,0.806337
1 Jan 2018 00:08:00.000,1665.365600,757.710671,411.361481,-0.685040,1.424821,0.773427
1 Jan 2018 00:10:00.000,1574.479535,924.375327,501.827809,-0.827709,1.350837,0.733213
1 Jan 2018 00:12:00.000,1467.229663,1081.450459,587.082334,-0.957537,1.265328,0.686744
1 Jan 2018 00:14:00.000,1345.231679,1227.674781,666.440551,-1.073358,1.170338,0.635131
1 Jan 2018 00:16:00.000,1210.211880,1362.035159,739.352978,-1.174489,1.067937,0.579499
1 Jan 2018 00:18:00.000,1063.952201,1483.764219,805.403564,-1.260687,0.960143,0.520945
1 Jan 2018 00:20:00.000,908.237907,1592.328398,864.303432,-1.332122,0.848814,0.460479
1 Jan 2018 00:22:00.000,744.815688,1687.404351,915.877964,-1.389247,0.735597,0.398995
1 Jan 2018 00:24:00.000,575.364752,1768.854180,960.052936,-1.432725,0.621934,0.337273
1 Jan 2018 00:26:00.000,401.475352,1836.700092,996.840843,-1.463366,0.509053,0.275979
1 Jan 2018 00:28:00.000,224.634167,1891.099182,1026.327275,-1.482077,0.397974,0.215665
1 Jan 2018 00:30:00.000,46.215871,1932.319092,1048.657669,-1.489811,0.289522,0.156778
1 Jan 2018 00:32:00.000,-132.519851,1960.715664,1064.025233,-1.487527,0.184346,0.099669
1 Jan 2018 00:34:00.000,-310.427340,1976.713275,1072.660375,-1.476161,0.082944,0.044610
1 Jan 2018 00:36:00.000,-486.471232,1980.787900,1074.821587,-1.456612,-0.014319,-0.008201
1 Jan 2018 00:38:00.000,-659.720818,1973.452818,1070.787701,-1.429725,-0.107183,-0.058623
1 Jan 2018 00:40:00.000,-829.343197,1955.246825,1060.851468,-1.396284,-0.195479,-0.106562
1 Jan 2018 00:42:00.000,-994.595842,1926.724653,1045.314336,-1.357011,-0.279108,-0.151965
1 Jan 2018 00:44:00.000,-1154.818961,1888.449314,1024.482269,-1.312563,-0.358029,-0.194809
1 Jan 2018 00:46:00.000,-1309.427934,1840.986076,998.662473,-1.263536,-0.432243,-0.235096
1 Jan 2018 00:48:00.000,-1457.906027,1784.897851,968.160881,-1.210467,-0.501787,-0.272844
1 Jan 2018 00:50:00.000,-1599.797508,1720.741766,933.280284,-1.153835,-0.566719,-0.308085
1 Jan 2018 00:52:00.000,-1734.701274,1649.066707,894.318994,-1.094072,-0.627117,-0.340863
1 Jan 2018 00:54:00.000,-1862.265008,1570.411656,851.569930,-1.031562,-0.683067,-0.371223
1 Jan 2018 00:56:00.000,-1982.179880,1485.304670,805.320058,-0.966645,-0.734665,-0.399218
1 Jan 2018 00:58:00.000,-2094.175803,1394.262364,755.850111,-0.899627,-0.782005,-0.424900
1 Jan 2018 01:00:00.000,-2198.017193,1297.789796,703.434521,-0.830779,-0.825185,-0.448321
1 Jan 2018 01:02:00.000,-2293.499221,1196.380663,648.341535,-0.760342,-0.864297,-0.469531
1 Jan 2018 01:04:00.000,-2380.444525,1090.517738,590.833451,-0.688534,-0.899429,-0.488580
1 Jan 2018 01:06:00.000,-2458.700325,980.673493,531.166963,-0.615548,-0.930665,-0.505512
1 Jan 2018 01:08:00.000,-2528.135935,867.310862,469.593574,-0.541559,-0.958081,-0.520368
1 Jan 2018 01:10:00.000,-2588.640612,750.884105,406.360072,-0.466724,-0.981745,-0.533186
1 Jan 2018 01:12:00.000,-2640.121726,631.839753,341.709041,-0.391189,-1.001717,-0.543999
1 Jan 2018 01:14:00.000,-2682.503223,510.617617,275.879409,-0.315085,-1.018049,-0.552834
1 Jan 2018 01:16:00.000,-2715.724358,387.651832,209.107016,-0.238536,-1.030784,-0.559715
1 Jan 2018 01:18:00.000,-2739.738674,263.371936,141.625200,-0.161657,-1.039956,-0.564660
1 Jan 2018 01:20:00.000,-2754.513222,138.203971,73.665389,-0.084558,-1.045589,-0.567684
1 Jan 2018 01:22:00.000,-2760.027998,12.571607,5.457713,-0.007345,-1.047698,-0.568793
1 Jan 2018 01:24:00.000,-2756.275605,-113.102738,-62.768386,0.069878,-1.046288,-0.567991
1 Jan 2018 01:26:00.000,-2743.261124,-238.396754,-130.783539,0.147006,-1.041357,-0.565276
1 Jan 2018 01:28:00.000,-2721.002191,-362.887110,-198.357832,0.223934,-1.032891,-0.560641
1 Jan 2018 01:30:00.000,-2689.529299,-486.148314,-265.260189,0.300553,-1.020867,-0.554075
1 Jan 2018 01:32:00.000,-2648.886305,-607.751592,-331.257765,0.376750,-1.005253,-0.545558
1 Jan 2018 01:34:00.000,-2599.131174,-727.263777,-396.115339,0.452401,-0.986008,-0.535070
1 Jan 2018 01:36:00.000,-2540.336944,-844.246218,-459.594722,0.527379,-0.963081,-0.522584
1 Jan 2018 01:38:00.000,-2472.592958,-958.253724,-521.454179,0.601539,-0.936415,-0.508066
1 Jan 2018 01:40:00.000,-2396.006347,-1068.833543,-581.447883,0.674728,-0.905941,-0.491481
1 Jan 2018 01:42:00.000,-2310.703816,-1175.524404,-639.325384,0.746775,-0.871586,-0.472789
1 Jan 2018 01:44:00.000,-2216.833732,-1277.855632,-694.831135,0.817488,-0.833267,-0.451944
1 Jan 2018 01:46:00.000,-2114.568559,-1375.346366,-747.704064,0.886655,-0.790896,-0.428900
1 Jan 2018 01:48:00.000,-2004.107669,-1467.504913,-797.677228,0.954041,-0.744381,-0.403606
1 Jan 2018 01:50:00.000,-1885.680559,-1553.828278,-844.477555,1.019379,-0.693627,-0.376011
1 Jan 2018 01:52:00.000,-1759.550504,-1633.801924,-887.825721,1.082371,-0.638537,-0.346062
1 Jan 2018 01:54:00.000,-1626.018696,-1706.899835,-927.436185,1.142682,-0.579016,-0.313708
1 Jan 2018 01:56:00.000,-1485.428890,-1772.584955,-963.017434,1.199938,-0.514976,-0.278901
1 Jan 2018 01:58:00.000,-1338.172573,-1830.310123,-994.272496,1.253717,-0.446338,-0.241598
1 Jan 2018 02:00:00.000,-1184.694687,-1879.519606,-1020.899784,1.303548,-0.373039,-0.201766
1 Jan 2018 02:02:00.000,-1025.499862,-1919.651405,-1042.594350,1.348907,-0.295039,-0.159384
1 Jan 2018 02:04:00.000,-861.159156,-1950.140452,-1059.049645,1.389211,-0.212328,-0.114446
1 Jan 2018 02:06:00.000,-692.317227,-1970.422933,-1069.959865,1.423815,-0.124939,-0.066971
1 Jan 2018 02:08:00.000,-519.699849,-1979.941932,-1075.023034,1.452011,-0.032956,-0.017006
1 Jan 2018 02:10:00.000,-344.121596,-1978.154690,-1073.944934,1.473029,0.063467,0.035366
1 Jan 2018 02:12:00.000,-166.493431,-1964.541752,-1066.444060,1.486033,0.164091,0.090014
1 Jan 2018 02:14:00.000,12.170189,-1938.618308,-1052.257747,1.490134,0.268575,0.146754
1 Jan 2018 02:16:00.000,190.745231,-1899.948001,-1031.149656,1.484398,0.376449,0.205329
1 Jan 2018 02:18:00.000,367.993779,-1848.159423,-1002.918744,1.467865,0.487096,0.265404
1 Jan 2018 02:20:00.000,542.562413,-1782.965343,-967.409746,1.439574,0.599727,0.326550
1 Jan 2018 02:22:00.000,712.984296,-1704.184598,-924.525127,1.398604,0.713360,0.388232
1 Jan 2018 02:24:00.000,877.686311,-1611.766459,-874.238356,1.344114,0.826800,0.449801
1 Jan 2018 02:26:00.000,1035.002904,-1505.816472,-816.607812,1.275413,0.938637,0.510492
1 Jan 2018 02:28:00.000,1183.196913,-1386.622261,-751.790636,1.192011,1.047249,0.569421
1 Jan 2018 02:30:00.000,1320.489190,-1254.678332,-680.057079,1.093714,1.150817,0.625591
1 Jan 2018 02:32:00.000,1445.098326,-1110.706055,-601.801478,0.980683,1.247385,0.677940
1 Jan 2018 02:34:00.000,1555.286151,-955.668575,-517.548735,0.853495,1.334889,0.725355
1 Jan 2018 02:36:00.000,1649.412979,-790.777448,-427.958509,0.713218,1.411278,0.766716
1 Jan 2018 02:38:00.000,1725.995545,-617.484565,-333.821639,0.561387,1.474604,0.800963
1 Jan 2018 02:40:00.000,1783.764615,-437.466207,-236.050317,0.400039,1.523096,0.827143
1 Jan 2018 02:42:00.000,1821.725134,-252.593035,-135.661010,0.231698,1.555320,0.844490
1 Jan 2018 02:44:00.000,1839.204090,-64.879829,-33.748216,0.059171,1.570297,0.852459
1 Jan 2018 02:46:00.000,1835.884345,123.566495,68.542561,-0.114402,1.567509,0.850777
1 Jan 2018 02:48:00.000,1811.832659,310.618048,170.055771,-0.285861,1.547124,0.839536
1 Jan 2018 02:50:00.000,1767.480184,494.196131,269.661408,-0.452260,1.509757,0.819065
1 Jan 2018 02:52:00.000,1703.603922,672.325132,366.287287,-0.610831,1.456534,0.789997
1 Jan 2018 02:54:00.000,1621.288382,843.190699,458.949792,-0.759222,1.388980,0.753162
1 Jan 2018 02:56:00.000,1521.875325,1005.180232,546.775301,-0.895516,1.308927,0.709557
1 Jan 2018 02:58:00.000,1406.904749,1156.913092,629.015870,-1.018320,1.218376,0.660265
1 Jan 2018 03:00:00.000,1278.055317,1297.253583,705.056662,-1.126719,1.119399,0.606415
1 Jan 2018 03:02:00.000,1137.087287,1425.313653,774.417644,-1.220255,1.014038,0.549117
1 Jan 2018 03:04:00.000,985.790260,1540.445907,836.749483,-1.298899,0.904247,0.489432
1 Jan 2018 03:06:00.000,825.934442,1642.226157,891.824252,-1.362979,0.791780,0.428315
1 Jan 2018 03:08:00.000,659.235389,1730.428023,939.521284,-1.413064,0.678180,0.366600
1 Jan 2018 03:10:00.000,487.329190,1804.997729,979.813258,-1.449900,0.564781,0.305008
1 Jan 2018 03:12:00.000,311.754733,1866.028628,1012.752467,-1.474353,0.452703,0.244146
1 Jan 2018 03:14:00.000,133.942382,1913.736424,1038.457396,-1.487358,0.342866,0.184510
1 Jan 2018 03:16:00.000,-44.791592,1948.435763,1057.099990,-1.489874,0.236004,0.126498
1 Jan 2018 03:18:00.000,-223.245823,1970.519202,1068.894306,-1.482852,0.132684,0.070417
1 Jan 2018 03:20:00.000,-400.331347,1980.438929,1074.086689,-1.467211,0.033336,0.016499
1 Jan 2018 03:22:00.000,-575.066796,1978.691185,1072.947380,-1.443825,-0.061731,-0.035088
1 Jan 2018 03:24:00.000,-746.572071,1965.803269,1065.763472,-1.413506,-0.152306,-0.084229
1 Jan 2018 03:26:00.000,-914.061128,1942.322899,1052.833127,-1.377008,-0.238256,-0.130853
1 Jan 2018 03:28:00.000,-1076.834400,1908.809658,1034.460908,-1.335019,-0.319513,-0.174923
1 Jan 2018 03:30:00.000,-1234.271176,1865.828197,1010.954086,-1.288165,-0.396060,-0.216430
1 Jan 2018 03:32:00.000,-1385.822163,1813.942968,982.619778,-1.237012,-0.467915,-0.255385
1 Jan 2018 03:34:00.000,-1531.002403,1753.714224,949.762778,-1.182066,-0.535128,-0.291814
1 Jan 2018 03:36:00.000,-1669.384644,1685.695113,912.683975,-1.123783,-0.597768,-0.325755
1 Jan 2018 03:38:00.000,-1800.593235,1610.429632,871.679243,-1.062569,-0.655916,-0.357254
1 Jan 2018 03:40:00.000,-1924.298569,1528.451306,827.038721,-0.998786,-0.709664,-0.386360
1 Jan 2018 03:42:00.000,-2040.212060,1440.282429,779.046397,-0.932756,-0.759108,-0.413126
1 Jan 2018 03:44:00.000,-2148.081658,1346.433760,727.979951,-0.864766,-0.804343,-0.437604
1 Jan 2018 03:46:00.000,-2247.687864,1247.404573,674.110779,-0.795073,-0.845465,-0.459847
1 Jan 2018 03:48:00.000,-2338.840215,1143.682987,617.704179,-0.723905,-0.882565,-0.479903
1 Jan 2018 03:50:00.000,-2421.374202,1035.746495,559.019648,-0.651466,-0.915727,-0.497820
1 Jan 2018 03:52:00.000,-2495.148597,924.062669,498.311263,-0.577941,-0.945033,-0.513641
1 Jan 2018 03:54:00.000,-2560.043129,809.089973,435.828137,-0.503495,-0.970553,-0.527405
1 Jan 2018 03:56:00.000,-2615.956509,691.278680,371.814908,-0.428279,-0.992353,-0.539148
1 Jan 2018 03:58:00.000,-2662.804750,571.071840,306.512278,-0.352431,-1.010488,-0.548900
1 Jan 2018 04:00:00.000,-2700.519769,448.906317,240.157570,-0.276079,-1.025005,-0.556686
1 Jan 2018 04:02:00.000,-2729.048248,325.213847,172.985306,-0.199341,-1.035942,-0.562529
1 Jan 2018 04:04:00.000,-2748.350739,200.422128,105.227797,-0.122331,-1.043330,-0.566443
1 Jan 2018 04:06:00.000,-2758.400998,74.955934,37.115748,-0.045155,-1.047186,-0.568439
1 Jan 2018 04:08:00.000,-2759.185533,-50.761763,-31.121134,0.032081,-1.047522,-0.568524
1 Jan 2018 04:10:00.000,-2750.703372,-176.308663,-99.253529,0.109273,-1.044339,-0.566697
1 Jan 2018 04:12:00.000,-2732.966042,-301.262001,-167.051883,0.186316,-1.037627,-0.562955
1 Jan 2018 04:14:00.000,-2705.997757,-425.197408,-234.285796,0.263104,-1.027370,-0.557288
1 Jan 2018 04:16:00.000,-2669.835822,-547.687788,-300.723409,0.339524,-1.013538,-0.549681
1 Jan 2018 04:18:00.000,-2624.531260,-668.302192,-366.130792,0.415461,-0.996097,-0.540114
1 Jan 2018 04:20:00.000,-2570.149667,-786.604722,-430.271352,0.490787,-0.974999,-0.528562
1 Jan 2018 04:22:00.000,-2506.772309,-902.153451,-492.905245,0.565366,-0.950190,-0.514997
1 Jan 2018 04:24:00.000,-2434.497483,-1014.499386,-553.788813,0.639052,-0.921608,-0.499384
1 Jan 2018 04:26:00.000,-2353.442151,-1123.185477,-612.674048,0.711680,-0.889180,-0.481685
1 Jan 2018 04:28:00.000,-2263.743873,-1227.745692,-669.308088,0.783069,-0.852829,-0.461857
1 Jan 2018 04:30:00.000,-2165.563071,-1327.704183,-723.432768,0.853020,-0.812470,-0.439854
1 Jan 2018 04:32:00.000,-2059.085655,-1422.574564,-774.784232,0.921307,-0.768012,-0.415628
1 Jan 2018 04:34:00.000,-1944.526024,-1511.859356,-823.092631,0.987679,-0.719361,-0.389128
1 Jan 2018 04:36:00.000,-1822.130511,-1595.049621,-868.081932,1.051855,-0.666421,-0.360301
1 Jan 2018 04:38:00.000,-1692.181272,-1671.624867,-909.469872,1.113519,-0.609095,-0.329097
1 Jan 2018 04:40:00.000,-1555.000678,-1741.053291,-946.968097,1.172315,-0.547292,-0.295465
1 Jan 2018 04:42:00.000,-1410.956228,-1802.792451,-980.282539,1.227846,-0.480927,-0.259360
1 Jan 2018 04:44:00.000,-1260.465996,-1856.290489,-1009.114087,1.279666,-0.409929,-0.220744
1 Jan 2018 04:46:00.000,-1104.004624,-1900.988033,-1033.159636,1.327278,-0.334246,-0.179590
1 Jan 2018 04:48:00.000,-942.109824,-1936.320942,-1052.113594,1.370126,-0.253851,-0.135884
1 Jan 2018 04:50:00.000,-775.389341,-1961.724053,-1065.669937,1.407598,-0.168754,-0.089633
1 Jan 2018 04:52:00.000,-604.528312,-1976.636155,-1073.524920,1.439017,-0.079015,-0.040869
1 Jan 2018 04:54:00.000,-430.296884,-1980.506415,-1075.380583,1.463643,0.015251,0.010342
1 Jan 2018 04:56:00.000,-253.557872,-1972.802565,-1070.949195,1.480671,0.113848,0.063893
1 Jan 2018 04:58:00.000,-75.274144,-1953.021115,-1059.958777,1.489240,0.216487,0.119628
1 Jan 2018 05:00:00.000,103.484730,-1920.699904,-1042.159898,1.488434,0.322766,0.177325
1 Jan 2018 05:02:00.000,281.537191,-1875.433248,-1017.333882,1.477306,0.432142,0.236691
1 Jan 2018 05:04:00.000,457.586623,-1816.889814,-985.302548,1.454890,0.543914,0.297342
1 Jan 2018 05:06:00.000,630.221486,-1744.833219,-945.939435,1.420242,0.657197,0.358798
1 Jan 2018 05:08:00.000,797.919751,-1659.145177,-899.182440,1.372473,0.770905,0.420465
1 Jan 2018 05:10:00.000,959.059188,-1559.850837,-845.047576,1.310813,0.883733,0.481634
1 Jan 2018 05:12:00.000,1111.934932,-1447.144834,-783.642861,1.234663,0.994162,0.541483
1 Jan 2018 05:14:00.000,1254.784222,-1321.416713,-715.182138,1.143672,1.100464,0.599067
1 Jan 2018 05:16:00.000,1385.821320,-1183.274211,-639.998873,1.037822,1.200742,0.653347
1 Jan 2018 05:18:00.000,1503.281189,-1033.559915,-558.554508,0.917479,1.292983,0.703234
1 Jan 2018 05:20:00.000,1605.468661,-873.363001,-471.443369,0.783462,1.375108,0.747605
1 Jan 2018 05:22:00.000,1690.817201,-704.019176,-379.393789,0.637088,1.445109,0.785365
1 Jan 2018 05:24:00.000,1757.946302,-527.096658,-283.260909,0.480144,1.501124,0.815502
1 Jan 2018 05:26:00.000,1805.719517,-344.374388,-184.013170,0.314911,1.541528,0.837149
1 Jan 2018 05:28:00.000,1833.301672,-157.803076,-82.710585,0.144096,1.565116,0.849663
1 Jan 2018 05:30:00.000,1840.196727,30.550105,19.522858,-0.029354,1.571136,0.852615
1 Jan 2018 05:32:00.000,1826.280458,218.557519,121.530903,-0.202221,1.559382,0.845925
1 Jan 2018 05:34:00.000,1791.809370,404.108129,222.168336,-0.371449,1.530296,0.829826
1 Jan 2018 05:36:00.000,1737.393702,585.168840,320.331099,-0.534166,1.484738,0.804788
1 Jan 2018 05:38:00.000,1663.973190,759.840013,414.989914,-0.687806,1.424060,0.771565
1 Jan 2018 05:40:00.000,1572.769513,926.405484,505.215795,-0.830232,1.349948,0.731073
1 Jan 2018 05:42:00.000,1465.232924,1083.367656,590.198930,-0.959791,1.264341,0.684367
1 Jan 2018 05:44:00.000,1342.980849,1229.469393,669.259771,-1.075338,1.169286,0.632557
1 Jan 2018 05:46:00.000,1207.739763,1363.701070,741.853506,-1.176201,1.066847,0.576767
1 Jan 2018 05:48:00.000,1061.290331,1485.297490,807.568349,-1.262137,0.959025,0.518086
1 Jan 2018 05:50:00.000,905.417759,1593.726617,866.119160,-1.333310,0.847685,0.457526
1 Jan 2018 05:52:00.000,741.868251,1688.667521,917.335495,-1.390182,0.734478,0.395983
1 Jan 2018 05:54:00.000,572.319549,1769.984355,961.147052,-1.433422,0.620839,0.334233
1 Jan 2018 05:56:00.000,398.359924,1837.700837,997.569736,-1.463842,0.507992,0.272936
1 Jan 2018 05:58:00.000,221.473973,1891.975023,1026.692047,-1.482350,0.396954,0.212643
1 Jan 2018 06:00:00.000,43.034324,1933.075209,1048.661999,-1.489898,0.288547,0.153796
1 Jan 2018 06:02:00.000,-135.701391,1961.357660,1063.675029,-1.487443,0.183419,0.096745
1 Jan 2018 06:04:00.000,-313.589503,1977.246952,1071.963401,-1.475924,0.082065,0.041757
1 Jan 2018 06:06:00.000,-489.596514,1981.219081,1073.787131,-1.456237,-0.015149,-0.010971
1 Jan 2018 06:08:00.000,-662.793428,1973.787220,1069.426310,-1.429225,-0.107966,-0.061300
1 Jan 2018 06:10:00.000,-832.348905,1955.489946,1059.174726,-1.395671,-0.196217,-0.109139
1 Jan 2018 06:12:00.000,-997.521807,1926.881697,1043.334679,-1.356297,-0.279804,-0.154435
1 Jan 2018 06:14:00.000,-1157.653566,1888.525155,1022.212835,-1.311757,-0.358686,-0.197168
1 Jan 2018 06:16:00.000,-1312.160636,1840.985260,996.116984,-1.262646,-0.432864,-0.237337
1 Jan 2018 06:18:00.000,-1460.527230,1784.824616,965.353546,-1.209500,-0.502373,-0.274965
1 Jan 2018 06:20:00.000,-1602.298466,1720.600067,930.225725,-1.152799,-0.567274,-0.310084
1 Jan 2018 06:22:00.000,-1737.074003,1648.860247,891.032179,-1.092972,-0.627642,-0.342735
1 Jan 2018 06:24:00.000,-1864.502218,1570.143912,848.066123,-1.030404,-0.683564,-0.372967
1 Jan 2018 06:26:00.000,-1984.274922,1484.978917,801.614770,-0.965434,-0.735135,-0.400832
1 Jan 2018 06:28:00.000,-2096.122613,1393.881696,751.959058,-0.898368,-0.782451,-0.426382
1 Jan 2018 06:30:00.000,-2199.810249,1297.357147,699.373585,-0.829476,-0.825606,-0.449670
1 Jan 2018 06:32:00.000,-2295.133501,1195.898825,644.126729,-0.759000,-0.864695,-0.470747
1 Jan 2018 06:34:00.000,-2381.915464,1089.989387,586.480887,-0.687155,-0.899806,-0.489661
1 Jan 2018 06:36:00.000,-2460.003783,980.101208,526.692827,-0.614136,-0.931021,-0.506458
1 Jan 2018 06:38:00.000,-2529.268160,866.697151,465.014106,-0.540117,-0.958416,-0.521178
1 Jan 2018 06:40:00.000,-2589.598214,750.231435,401.691550,-0.465256,-0.982059,-0.533861
1 Jan 2018 06:42:00.000,-2640.901659,631.150578,336.967770,-0.389697,-1.002011,-0.544537
1 Jan 2018 06:44:00.000,-2683.102768,509.894403,271.081712,-0.313571,-1.018322,-0.553236
1 Jan 2018 06:46:00.000,-2716.141114,386.897087,204.269228,-0.237004,-1.031036,-0.559981
1 Jan 2018 06:48:00.000,-2739.970556,262.588237,136.763661,-0.160108,-1.040186,-0.564790
1 Jan 2018 06:50:00.000,-2754.558461,137.393990,68.796441,-0.082996,-1.045796,-0.567677
1 Jan 2018 06:52:00.000,-2759.885151,11.738130,0.597693,-0.005772,-1.047881,-0.568650
1 Jan 2018 06:54:00.000,-2755.943562,-113.956785,-67.603153,0.071458,-1.046447,-0.567712
1 Jan 2018 06:56:00.000,-2742.739118,-239.268288,-135.576747,0.148591,-1.041490,-0.564862
1 Jan 2018 06:58:00.000,-2720.289819,-363.772868,-203.093206,0.225521,-1.032996,-0.560092
1 Jan 2018 07:00:00.000,-2688.626531,-487.044837,-269.921495,0.302139,-1.020942,-0.553390
1 Jan 2018 07:02:00.000,-2647.793509,-608.655204,-335.828820,0.378330,-1.005296,-0.544739
1 Jan 2018 07:04:00.000,-2597.849131,-728.170563,-400.580025,0.453974,-0.986017,-0.534117
1 Jan 2018 07:06:00.000,-2538.866882,-845.152004,-463.937003,0.528939,-0.963055,-0.521497
1 Jan 2018 07:08:00.000,-2470.936578,-959.154052,-525.658117,0.603083,-0.936350,-0.506847
1 Jan 2018 07:10:00.000,-2394.165864,-1069.723650,-585.497655,0.676252,-0.905836,-0.490131
1 Jan 2018 07:12:00.000,-2308.682000,-1176.399200,-643.205308,0.748273,-0.871436,-0.471309
1 Jan 2018 07:14:00.000,-2214.633960,-1278.709683,-698.525694,0.818955,-0.833070,-0.450336
1 Jan 2018 07:16:00.000,-2112.194872,-1376.173874,-751.197940,0.888086,-0.790650,-0.427165
1 Jan 2018 07:18:00.000,-2001.564835,-1468.299705,-800.955336,0.955429,-0.744082,-0.401746
1 Jan 2018 07:20:00.000,-1882.974139,-1554.583792,-847.525090,1.020717,-0.693271,-0.374029
1 Jan 2018 07:22:00.000,-1756.686930,-1634.511208,-890.628206,1.083651,-0.638121,-0.343960
1 Jan 2018 07:24:00.000,-1623.005351,-1707.555539,-929.979532,1.143897,-0.578538,-0.311491
1 Jan 2018 07:26:00.000,-1482.274195,-1773.179336,-965.288011,1.201078,-0.514432,-0.276572
1 Jan 2018 07:28:00.000,-1334.886086,-1830.835049,-996.257205,1.254772,-0.445724,-0.239163
1 Jan 2018 07:30:00.000,-1181.287211,-1879.966568,-1022.586149,1.304508,-0.372353,-0.199230
1 Jan 2018 07:32:00.000,-1021.983582,-1920.011540,-1043.970627,1.349759,-0.294277,-0.156753
1 Jan 2018 07:34:00.000,-857.547781,-1950.404603,-1060.104956,1.389941,-0.211489,-0.111729
1 Jan 2018 07:36:00.000,-688.626140,-1970.581734,-1070.684364,1.424410,-0.124021,-0.064177
1 Jan 2018 07:38:00.000,-515.946241,-1979.985937,-1075.408105,1.452455,-0.031960,-0.014145
1 Jan 2018 07:40:00.000,-340.324577,-1978.074526,-1073.983430,1.473305,0.064540,0.038279
1 Jan 2018 07:42:00.000,-162.674104,-1964.328307,-1066.130566,1.486125,0.165239,0.092965
1 Jan 2018 07:44:00.000,15.988697,-1938.262933,-1051.588864,1.490025,0.269792,0.149723
1 Jan 2018 07:46:00.000,194.537783,-1899.442736,-1030.124289,1.484071,0.377729,0.208297
1 Jan 2018 07:48:00.000,371.733269,-1847.497242,-1001.538377,1.467304,0.488430,0.268348
1 Jan 2018 07:50:00.000,546.219853,-1782.140440,-965.678738,1.438765,0.601103,0.329445
1 Jan 2018 07:52:00.000,716.528990,-1703.192693,-922.451004,1.397532,0.714764,0.391051
1 Jan 2018 07:54:00.000,881.086029,-1610.605040,-871.832072,1.342767,0.828217,0.452513
1 Jan 2018 07:56:00.000,1038.224055,-1504.485227,-813.884175,1.273782,0.940047,0.513063
1 Jan 2018 07:58:00.000,1186.205294,-1385.123533,-748.768501,1.190094,1.048627,0.571820
1 Jan 2018 08:00:00.000,1323.250133,-1253.017525,-676.759034,1.091506,1.152134,0.627784
1 Jan 2018 08:02:00.000,1447.577603,-1108.892790,-598.254951,0.978200,1.248604,0.679882
1 Jan 2018 08:04:00.000,1557.451997,-953.715979,-513.786092,0.850757,1.335986,0.727010
1 Jan 2018 08:06:00.000,1651.236198,-788.702563,-424.016290,0.710253,1.412211,0.768048
1 Jan 2018 08:08:00.000,1727.452207,-615.309046,-329.740771,0.558252,1.475346,0.801937
1 Jan 2018 08:10:00.000,1784.837586,-435.213784,-231.875231,0.396789,1.523637,0.827737
1 Jan 2018 08:12:00.000,1822.402940,-250.288316,-131.438551,0.228376,1.555645,0.844682
1 Jan 2018 08:14:00.000,1839.482943,-62.549370,-29.526569,0.055854,1.570406,0.852253
1 Jan 2018 08:16:00.000,1835.766643,125.898426,72.715482,-0.117693,1.567419,0.850170
1 Jan 2018 08:18:00.000,1811.324448,312.925470,174.131957,-0.289061,1.546806,0.838538
1 Jan 2018 08:20:00.000,1766.597030,496.453377,273.596385,-0.455304,1.509244,0.817711
1 Jan 2018 08:22:00.000,1702.366941,674.510091,370.039351,-0.613676,1.455847,0.788309
1 Jan 2018 08:24:00.000,1619.724058,845.284337,462.481182,-0.761830,1.388152,0.751178
1 Jan 2018 08:26:00.000,1520.013193,1007.167278,550.052619,-0.897865,1.307983,0.707313
1 Jan 2018 08:28:00.000,1404.777213,1158.781806,632.010576,-1.020393,1.217353,0.657805
1 Jan 2018 08:30:00.000,1275.695742,1298.996260,707.745118,-1.128513,1.118327,0.603778
1 Jan 2018 08:32:00.000,1134.528569,1426.925988,776.780886,-1.221783,1.012940,0.546340
1 Jan 2018 08:34:00.000,983.064021,1541.925335,838.772515,-1.300163,0.903133,0.486545
1 Jan 2018 08:36:00.000,823.072188,1643.572045,893.495958,-1.363983,0.790671,0.425352
1 Jan 2018 08:38:00.000,656.267573,1731.642083,940.834654,-1.413821,0.677094,0.363595
1 Jan 2018 08:40:00.000,484.284450,1806.083535,980.765001,-1.450428,0.563731,0.301990
1 Jan 2018 08:42:00.000,308.659518,1866.991043,1013.342476,-1.474670,0.451698,0.241138
1 Jan 2018 08:44:00.000,130.820939,1914.581107,1038.688288,-1.487481,0.341911,0.181536
1 Jan 2018 08:46:00.000,-47.917175,1949.168890,1056.976778,-1.489822,0.235101,0.123574
1 Jan 2018 08:48:00.000,-226.355592,1971.147223,1068.424042,-1.482643,0.131835,0.067559
1 Jan 2018 08:50:00.000,-403.407382,1980.968353,1073.278100,-1.466861,0.032541,0.013720
1 Jan 2018 08:52:00.000,-578.093059,1979.128417,1071.810560,-1.443348,-0.062473,-0.037778
1 Jan 2018 08:54:00.000,-749.534238,1966.154481,1064.309634,-1.412917,-0.152998,-0.086822
1 Jan 2018 08:56:00.000,-916.946423,1942.593934,1051.074393,-1.376318,-0.238901,-0.133341
